s1,title,following
1.19,你好，孩子内向，在学校经常被欺负，无论怎么和孩子谈都是一样被欺负，每次谈都要小心翼翼的，怕伤孩子自尊，想请问要怎样和孩子勾通这事,孩子在家胆子也很小，和我还好，但是很怕她爸爸 // 感觉孩子不愿意和爸爸在一起，就是在一起也小心翼翼的
1.19,女 小孩才三岁多但脾气非常的暴躁，不管跟谁只要说话语气重点他的那个脾气就来了，跟着就眼泪来了，打又打不得，我都不知道该怎么，怎么去教,好 // 但小孩这个脾气我应该怎么去教 // 难道是因为我脾气不好，所以小孩脾气也不好吗 // 应该像我吧 // 小孩也特别喜欢哭，一个男孩子也这么喜欢哭，动不动就哭
1.19,男 就是放假了，妈妈让我学习，但是我不想学习。然后妈妈就吵我，就觉得特别无耐。烦，感觉妈妈唠叨。而且动不动就吵我。就感觉都是我的错。,不能 // 我的情况能给，一些建议吗 // 我感觉就是好像有一些自卑心理 // 嗯
1.19,女 最近我觉得自己非常嗜睡而且经常呼吸困难容易发火，抓自己感觉不到疼痛，最近一次我爸打我我竟然萌生了就那样死的念头，觉得生活没意思了,初三刚刚毕业
1.19,女 你好医生。请问我儿子今年5岁，去幼儿园半个学期了，不跟老师说话，也不跟同学玩，回到家老师教的儿歌他都会，就是在学校不说话，怎么办啊,都快急死了，在家特别淘，也爱说，出门一句话也不说 // 在家里每天都告诉他，去学校和老师说话 // 那我做家长的，到底要怎么办才好啊 // 会不会是自闭症 // 他在学校，我和他爸爸去，问他他都不和我们说话 // 那我到底要怎么办
1.19,女 总是对孩子发脾气。有时因为受外在影响，孩子正好不听话时，就对孩子发脾气，现在孩子有时看我发脾气，她也会害怕，可是我控制不住，怎办？,
1.19,男 离婚后，儿子和我在一起生活，现在读二年级，学习越来越差，我问他为什么，他说想跟妈妈在一起读书，在我这里没兴趣学不进去，我都不知道该怎么办,都不知道怎么才好 // 谢谢
1.19,男 小孩子十岁了，洗喜欢玩，上课不是很认真喜欢说谎，有拿家长的钱，拿存钱罐的钱，最近喜欢拿我的手机玩游戏，做业不盯着就不肯做，不知道怎么办好。,
1.19,男 我的孩子今年10岁，在5.1开始不去上学了，打，说都不管用。经过和他沟通说是不愿意写作业，对上学没有性趣，请教您有什么好办法让他对课堂有兴趣，拜托,
1.19,"女,孩子12周岁了！和老师同学交流都可以！但是我的朋友问她们（双胞胎）却不回答！我问她们为什么不愿和大人说话！就哭不回答！我应该怎么开导她们！谢谢！",是不是与双胞胎有关系 // 有老师能解释下为什么吗？ // 王老师！她们是害怕还是自卑心理呢 // 我家孩子双胞胎！我的朋友与她们说话从来不作声！我特意问她们为什么不愿和大人说话？就哭不回答！学习挺好！在学校和老师同学交流还行！
1.19,你好我的孩子14岁了，平时在家和我们父母爷爷奶奶交流很少基本上每次问他时回答就是我不或不要。我想通过这个平台咨询一下我的孩子心理上是不是有点问题。,怎样详细了解
1.19,女 孩子以前骑摩托车出去上网，没按时回家，现在不准他骑了，他说走路也要去，晚上不回来了，真的就夜不归宿了，做家长的采取什么措施，孩子|7岁了，读职高,哪位老师更擅长于青少年成长问题呢
1.19,女 孩子现在十个月，从孩子出生一直在家带孩子，最近不知道怎么了，跟孩子特别容易发脾气，我之前脾气属于特别好的那种，现在笑都不想笑一下，这是怎么了？,没什么事 // 怎么平衡？ // 刚开始我觉得可能是夏天火气大，可是今天我都动手打了，打完给我心疼的，虽然只是打了下屁股，可我感觉得到我用力了。 // 好，谢谢。
1.19,"男,喜欢偷拿父母的钱，被发现了还死不承认，别人的都不拿只拿父母的，还偷偷用微信转账到自己账户里，即使铁证如山也不承认，还要狡辩，请问下这是什么心理？",孩子啊 // 大学刚毕业
1.19,"男,我儿子最近老做噩梦，说一些可怕的事情，还说头痛心痛这些，当他说这些的时候样子好吓人，可是说完了，一会就忘记了，也不知道发生了什么，请问是什么原因",9岁 // 就这两天才出现的问题 // 了解，上学很好，学习上也没有压力 // 玩游戏的，不过都不玩那些激烈的游戏，平常都玩一些小游戏 // 我们家关系都很好，家里没有发生什么事 // 事情就发生在这两天，刚刚还哭着告诉我，心好痛，一个白色的盒子里面有一个小人跳出来，绿色的心好痛，我问他，一会他又不知道了 // 白天又没有什么事，就睡觉后的一个小时之内，会发生
1.19,女 在幼儿，跟老师沟通，会讲道理，会讲通，脾气也还好，但是在爸爸妈妈那里脾气特别大，不依她就要大哭大闹，不管是家里还是外面都是这样！这样的孩子怎么办？,有人回答吗？ // 很多孩子都是这样，在老师这里乖一点，在父母那里就脾气很大 // 我说的这个孩子就特别严重，对爸爸妈妈会大叫把你扔掉！不要爸爸，不要妈妈！ // 然后不管旁边有没有人看。她就大哭大叫。如果好好跟她说，就脾气更大，如果真的凶她，她就会消停下来 // 她妈妈觉得是班级里小朋友的原因，影响她成了这样，但是老师都认为是父母的问题菜让她变这样！她妈妈现在要求换班，但是学校不希望换班，怎么办
1.19,"女,近半年来每次面对爸爸谈话，都会忍不住哭。就算他说的是无关紧要的话，我都会哭。一面对他就感觉很压抑，直接情绪就上来了，有没理由都哭。是不是得了抑郁症呀？",不严厉 但是就是怕他 // 从小就有点怕，可能因为小时候少相处。不过他很疼我的。 // 是之前发生了件事，他说要多生个弟弟，我反对之后，就好怕和他相处。
1.19,"女,女孩一年级下册册了，非常厌学，写作业不认真拖延时间，为了不上课，装病、有事宁愿躲到学校的厕所里，老师很头疼，家长也很无奈……求助专家，有什么好的方式方法？",喜欢玩淘气堡，看动画片，说就是不喜欢上学，整天有写不完的作业，上不完的课，一坐进教室就头疼…… // 其实周末我们也经常带她和朋友也有很多的小伙伴一起到郊外游玩，她很喜欢很开心，到了周日晚上，她就说，灾难的日子又要来临了，唉。 // 好的
1.19,我和我爸爸从小就不怎么说话，一年的话加起来还没有人家一天说的话多，我有时想和他说，可我总觉得他懒得理我似的，哎！真是最亲的陌生人！我该怎么办？他是不是不爱我啊？,
1.19,女 与家长年龄差距太大，没有共同语言，家长最关心的就是学习，就算比之前进步很多家长依然不满意不但没有鼓励，还总是说我，想找父母聊天却总是被父母逼回去，不想说话了。,
1.19,"女,我是初二学生学习在一中排84班上第四名家庭条件也还算不错在家里学校也算乖巧也有梦想希望上个好大学但是妈妈不想让我上学想让我撤学在家里做家务我又不能说什么应该怎么办",因为我妈妈认为读书没有用 // 不如去当个护士 // 为此经常在我学习的时候骂我 // 我肯定希望继续努力考鸿志班啊 // 但是我妈希望我上职中 // 毕竟家里我没有什么选择权选择权都在父母手里我真的应该放弃如我母亲所想吗
1.19,"女,小孩8岁，出身于单亲家庭，小时候很听话。可是自从读二年级以来总是喜欢撒谎，性格易怒，多动。每次和她谈心，她都故意扯开话题逃避问题。严重缺乏安全感，怕大家不喜欢她。",是的 // 在学校没发生过什么事，小孩爸爸不在了 // 这样的情况从上个月开始发现的 // 撒谎，是同学教的 // 同学说，撒谎爽快，不挨打，不挨骂
1.19,女 我有俩孩子  老大闺女七周岁  老二一岁八个月   闺女做事 说话 我都不喜欢   特别不会说   不管她做什么说什么   我心里都烦   挨打特别多   小事也能挨打   就说洗头发的问题   一动她就说疼  别的不会说    只说疼   我心里那个烦呀   就会有冲动想打她   事后我也会有说她    大部分都是嚷   我就没有一点点耐心   我特别心烦,我这怎么办 // 针对我老大多点 // 跟老公还行吧   他不会甜言蜜语 // 我也知道会伤害孩子   事后我也会很难过        不过也没用 // 我也知道  大部分原因在我    我不知道怎么办
1.19,女 生完宝宝一个月后 怀疑自己得了抑郁症 现在感觉生活很没意思 每天都睡不着，饭也吃不下 什么都不想管每天很烦躁 不知道该怎么办了 请问这是抑郁症吗 我该怎样去做才能缓解这种情绪,谁有微信，第一次用这软件不会用
1.19,"男,17岁，高一男生，早恋，玩手机，怎么办引导？","男,17岁，高一男生，早恋，玩手机，怎么办引导？ // 在吗？"
1.19,"男,我儿子平时做题挺好的，怎么一到考试就不行呢",7周 // 小孩不会紧张吧 // 上了 // 不清楚 // 平时做好多卷子都没问题 // 像这类的卷子我买了六本 ，孩子都基本做完了，也都能做对 // 开学上二年级 // 我不知道怎么帮孩子 // 平时应用题都做对了，这次错了一半 // 是不是心理上有什么问题呢 // 是的 // 孩子没说什么
1.19,"女,产后有焦虑症怎么办？我应该怎么做才不会这样",怎么才能解决问题
1.19,"男,为什么我会对母亲那么做，心里好害怕让人知道",加我q****5
1.19,"女,7岁,孩子嘴里发出哼声，眼镜鼻子使劲.............","女,7岁,孩子嘴里发出哼声，眼镜鼻子使劲............. // 半年了 // 不是故意的 // 没有 // 想咨询一下"
1.19,"男,为何父母对待成绩好的我与成绩坏的我态度不同",他们是否真的爱我 // 哦，那有时也会欺骗我那这算不算不爱的表现
1.19,"男,18岁,沉迷网络游戏，逃课，老师跟家长都沟通不了",现跟你沟通需要收费吗 // 是我朋友的孩子 // 他妈妈现无法沟通，有些不懂，让我找老师咨询 // 如果现在咨询的话要收费吗 // 小孩18岁了，上高二，沉迷网络游戏，父母跟老师都不能沟通，各位老师能帮忙吗
1.19,男 长大后很埋怨父母认为自己性格不好是他们造成的,20岁 // 都不是 // 人格吗？
1.19,"女,我哥哥老爱吹大的！不干活！有时还骂父母怎么办",我该怎么挽救他！ // 他原先干过传销 // 我是他妹妹！我和他的关系还行！我训他没事父母说他他老给父母着急 // 怎么办 // 头大 // 怎么都不说话了？ // 我是顺着他说话还是去严格的教育他？ // 我的父母又怕他跑出去不挣钱还借钱花又怕他出去了不挣钱还把自己搭进去
1.19,"女,女,我女儿十六岁，在家里穿得比较暴露，怎么办？",作风问题。
1.19,"女,老师，孩子经常说自己不行，怎样给孩子建立自信",
1.19,"女,我的孩子10岁了，但出现了很多问题。我该怎么办？",大家好!\n我的孩子厌学了，懒散，不再听话! // 是谁的话都不听! // 各位老师好 // 孩子经常做一些反感的小动作，屡教不听，也会经常被我打骂!这些都是让我非常痛苦的事。 // 我多想对他好一点!可是他总要和我作对，眼下有个两岁多的弟弟要照顾，我也要做好所有的家务。 // 不知道他为什么会这样，没有积极心态、厌学、妒忌心；也没有一点感恩的心!
1.19,"男,孩子发脾气，不爱上学，家长和孩子沟通不了，该怎么办",十二岁了该上六年级了 // 有什么好办法吗
1.19,"男,我很喜欢妈，但是妈妈跟我最好的朋友上了床，让我看见了",我今年20 // 我朋友25从小一起玩大的 // 我现在不知道怎么办 // 父母离婚 // 我一直跟妈妈住在一起 // 我也不想看见他们这样啊 // 妈妈给我的母爱 // 我对妈妈没有别的意思 // 就是看到妈妈跟我朋友一起心里特别不是滋味 // 那个朋友结婚了都，我不想让妈妈这样 // 不知道 // 我也是无意之间正好回家看见了，我也没进去就走了
1.19,"女,我恨我妈妈		总觉得我变坏都是因为她		我也不知道我对不对","可也不能太差吧		差不多就行呗 // 我18了 // 就是看不惯我妈妈		就故意气她 // 被同学欺负		我妈让我忍		她不帮我		我就得自己变强		我感觉我挺坏的 // \""quot;身体发肤		受之父母\""quot;在网上无意间看到的一句话		之后我就不停的自残		让我妈心疼		气的她都发抖 // 我18"
1.19,"男,我14小孩爱出去玩，一去就是几天，不和大人说怎么办医生？",
1.19,"女,怀孕晚期，心理恐慌	怕灾难怕意外，总觉得身边到处都是危险",
1.19,女 有关我女儿叛逆的问题，这段时间夜不归宿的问题越来越厉害了。,14岁
1.19,女 从孩子离开以后，这一年多会无缘无故的发脾气，有时候会想到死,那要怎么办，我还有一个女儿，可有时候我自己感觉跟个神经病一样，我很苦恼，可又没人可以诉说
1.19,女 不知道自己怎么了老想对孩子发脾气，感觉自己心情没个好的时候,
1.19,"男,在校早恋说谎偷手机卖手机，同学间影响极坏，学习环境受不了！",儿子 // 讲了认错很好，不见行动 // 只有一周时间又重犯，家长该如何引导
1.19,"女,爸妈都偏心！我以经很听话了！是不是我好欺负！爸妈才这样对我？",我是不是不该出生？ // 爸妈为什么会这么对我？ // 因为他们给我的悲哀感不是一点！几乎每天都有！我有的时候想过死！这样他们心里才会有我！是不是？ // 额
1.19,为什么感觉不到妈妈的存在？感觉不到来自妈妈的关爱？总是很孤单？,我买了新房子，两年了，她都没去看过 // 我请她去看过一会，希望她分享我的快乐，可她说去又不去了，锻炼身体去了，以后我们都没再提过，我对她失望，不愿去看她。 // 我有家庭，相处不好 // 可能都有吧 // 一样吧 // 我们都是在奶奶家长大 // 也是吃母乳 // 其他的就不太知道了 // 上学时回家和父母生活 // 请问面试紧张怎么办？
1.19,"女,从小就和妈妈的感情不好，不是吵架就是打架有时候俩个人谁都不理谁，",我从小就和妈妈的感情不好，也不知道为什么
1.19,"女,我想要咨询子女与父母之间的问题，特别是脾气暴躁的家长对子女的影响",我是她女儿 // 我每次回到家我都非常紧张，从来不懂什么是家的温暖 // 我也不敢和我妈独处，只要一独处我就全身冒汗 // 唉，我自己都感觉自己完蛋了 // 我是和我妈 // 王老师
1.19,男 孩子不爱和小朋友玩总爱发脾气烦躁脾气暴力对妈妈有没有无所谓的样子,看电视特投入总爱看
1.19,"女,对父母有反感心理，认为他们是传统思想的代表，有逆反心理，老是争吵",
1.19,"女,自从爸爸过世之后我老是跟妈妈吵架，我也不知道我怎么了，我该怎么办",25岁 // 因为爸爸过世后，我就辞职回家里帮忙打理家里生意了，都是因为生意上的事，还有现在我妈妈找了一个男朋友，我接受不了吧 // 爸爸过世快二年了 // 爸爸走后我觉得我的家庭再也没有以前那种快乐 // 不能 // 但我觉得那个男的一点也不靠谱
1.19,"女,你好！我女儿8岁，最近老喜欢看大肚子的孕妇图片视频，是什么原因呢？",
1.19,女 我觉得我要被我爸爸逼疯了，每次我爸爸说完我    我就会有想去死的想法,你怎么知道什么爸爸 // 我妈妈年轻时候得了精神疾病到现在 // 有时候我都觉得我有精神疾病 // 他是冷言冷语   说话伤害我 // 觉得自己没错 // 都是我的错 // 我不知道  只是觉得是因为他 // 他脾气特别大   和我妈妈在一起的时候 // 打我妈妈 // 他说什么你都要顺着他    不顺着他就会发脾气 // 我觉得在他身边我老是开心不起来 // 我都不想回家   不想和他说话 // 呵呵哒 // 男朋友都没有 // 工作了
1.19,"女,我爸妈总是吵架。我妈还总是骂人	经常的特别烦。	我都二十了	还每天骂我",那你会尊重一个骂你二十年的人们
1.19,男 小男孩不听话，性格暴躁，爱说谎话，不爱上学，和家人情感较淡。无法沟通,
1.19,"女,孩子一年级，数学不好，不知道怎么辅导，教不会，我脾气又急，容易发火。",
1.19,"女,咨询孩子性格方面的问题，孩子自私敏感不懂感恩冷漠，怎样才能辅导孩子呢",孩子已经二十三岁了 // 父母教育方法有问题，父母也意识到了 // 可现在却不知道该怎么去辅导孩子了 // 孩子还在上大学 // 前段时间孩子精神分裂症已经看好了，想看看怎么辅导孩子纠正一下，可现在孩子也听不进去效果不好，父母很着急不知道怎么办 // 孩子是被溺爱了， // 孩子是长期被父母疏忽了，她现在其实也很迷茫
1.19,"女,我家孩子	今年10岁了，可他很不听话经常在学校不交作业，和同学打架		没礼貌",我家孩子让我非常苦恼，不知道该咋办 // 偶尔会有 // 如果改变这种家庭环境，孩子会得到改变？
1.19,男 我儿子脾气爆，经常不受自己控制，一有不顺心就好像全世界都得罪他了一样！,
1.19,"女,我27岁宝宝3周岁宝宝不乖不吃饭我就老打他有时候气到像疯了一样打我该怎么办",有时候我都像疯了一样打他 // 不是的是我打他 // 从小就我一个人带！ // 怎么调整每次我都克制不了自己 // 打完后我自己后悔！可气起来的时候又开始打 // 还行 // 能用文字吗 // 你能帮帮我吗？
1.19,"女,13岁,孩子用圆规划伤自己胳膊，大人询问说好玩，请问这是什么原因？严不严重？",谢谢大家。 // 怎么帮助她呢？ // 现在这样很害怕她会有危险
1.19,"男,不想上学，天天只想游戏，父母天天吵架，看着心烦，看他们都烦，不顺心动手打他们",
1.19,男 我想出去玩，家长不让，还说我，还打我，但是我只是想出去玩一会，他们非怕我出事,
1.19,女 一个不懂事的儿子27了，每天让生气，没老没少，发起脾气来就像条疯狗，对他有么好办法,是，感觉非常伤心 // 一点小事就对家人发火， // 好像疯狗 // 一点善心也没有，自私 // 他不痛苦，不容别人一点错，假如给他说话，重复一边他就急了
1.19,"女,因为相亲总是和父母吵架，他们经常骂人，说话特别难听，现在几乎不和他们说话，烦他们",总是吵架我都不想理他们，他们说话真的太过分，现在和他们在一起待着都有压力 // 两个孩子，我是大的，有个弟弟 // 因为相亲总是不成所以吵，他们根本不听我的意见，也不管我不愿意还是对方不愿意，就都说是我不愿意，就和我吵 // 我想知道我现在应该怎么和他们相处，我特别烦他们
1.19,"女,我总是和妈妈有矛盾！就是什么是都有可能是导火索.....任何一件事都能吵架！这是为什么呢？",是和奶奶一起长大的 10岁又和妈妈在一起的 // 我妈妈今年42岁 // 怎么订购阿 // 没太整明白阿
1.19,"女,26岁,每当孩子哭闹时，如果我的心情不佳，我会想要掐死她，她只有一岁，我有几次甚至已经发力",一岁半 // 母亲处于更年期，每天都有说不完的骂我 // 我想发泄找不到突破口，孩子又不听话，哭闹 // 我现在这是有心理疾病吗 // 我对生活已经无力
1.19,"男,我儿子离家出走两周了，无论谁电话都不接，信息也不回，也不知道他的去向，请问我该怎么办？",
1.19,"女,心里总是莫名的抑郁，看那哪都烦，有两个女儿，对于大闺女的教育问题总是里不清，对孩子态度很不好",这是怎么回事 // 夫妻感情很好 // 自从生要二胎 // 自从生完二胎脾气越来越不好 // 我家大闺女有自己的主见，我说什么他都答应，一该做这样的事了就不是这样了
1.19,女 我现在动不动就发火，今天我妈回来一直骂我，我先开始是忍着，后来忍不住了就跟她对着抄了，好烦人，怎么办,我这是什么情况呢 // 能告诉我这是什么原因吗
1.19,"女,孩子无休止的向家长要钱；有时情绪失控；曾向家长表白:就想要一台电视，一张床，一个房间。往后也不想结婚。",19岁 // 几位心理专家，你们好！ // 我是黑龙江的，想带孩子去咨询 // 不知道几位专家谁是黑龙江人 // 希望能面对面交流 // 太远啦！您的同行有在黑龙江的吗？帮忙介绍一下，我们想亲自去，让孩子跟心理专家面对面交流，我想这样效果会好些！在此表示十分感谢！！！ // 您方便告诉一下电话号码吗？
1.19,"男,我的妈妈她管我特别的严我总是想出门去玩可是她不让我去还和我吵架还说不顾她的感受可是她有没有考虑我的感受",13了 // 快14了
1.19,"女,女孩6周岁，性格内向，不和陌生人说话，不与同班的幼儿园小朋友一起玩耍。整天活在自己的小世界中，与妈妈交流正常。",有唐山的专家吗
1.19,女 和妈妈的关系很僵。我有个姐姐，从小被夸着长大，而我从小被损。我总感觉她们有一样的世界观，是母女。而我像个陌生人,谢谢您能帮我 // 刚高考完 // 我一直上学和家里人交流很少 // 放假和妈妈长时间住在一起才感觉说不上话。天天赌气 // 我总感觉我和我妈像陌生人 // 有没有人啊， // 我会努力克制改变。 // 可我怎么做不到呢
1.19,男 我是一名母亲，可能由于我脾气比较暴躁，我的宝宝总爱吃衣角，吃坏了好多衣服。我怕给宝宝留下心理问题，我该怎么办？,6岁 // 谢谢 // 今天我非常焦虑，今年多次当着别人的面打孩子 // 导致孩子最近不爱见人，只躲在家里打游戏怎么办
1.19,"女,我发现我儿子和他的朋友关系很爱魅，我发现他的聊天记录很恶心，他们在一起有七八年了，而且谁也离不开谁，我该怎么办啊",一开始就以为他们一起上学放学，就是单纯的好朋友，我也怀疑过，问他他不承认，就是今年春节，我意外发现了他们的聊天记录，这才意识到他们从一开始就不正常，还能挽回吗 // 今年24岁了，在部队6年了，但是他的那个朋友也去了，在部队附近打工
1.19,"女,那天晚上和孩子爸爸当着儿子的面大吵一架，吵的特别厉害。以后发现儿子就变得不一样了，不活泼也不爱说话了。怎么办呢？",怎么挽救儿子呢 // 两岁半 // 儿子才两岁半 // 现在对儿子特别好 // 也不敢大声给他说话
1.19,"女,我是一位十六岁男孩的妈妈，我念高一的儿子突然不想读书，还成天要死要活的说他活得没意思，我真的好被动不知道该怎么办？",他就是说他不想读了，还经常去网吧玩通宵 // 我跟他爸分开了的，家的缘故的确影响了他们不少 // 六年前
1.19,"女,3岁,我宝宝三岁了，从两岁多起就是我妈妈带，因为我在外地打工，从那时候起宝宝就经常动不动没事发脾气，请问这是怎么回事？",可是我在宝宝四个月的时候就离婚了，家里条件也不好，为了宝宝我没出去打工，直到去年下半年才出来打工的，不工作哪里有钱去养宝宝呢？宝宝越来越大，需要的钱也会也来越多，现在我在这里上班也会隔一个礼拜就去看宝宝，之前还好，就这阵子，我妈说动不动就发脾气，问她又说没事
1.19,"男,父母吵架，心很反感！现在感觉对父母口气都不好了，只要他们和我说话就会觉得很烦，语气特别不好，不过说完话之后又特别后悔！",
1.19,"女,38岁,我是2个孩子的妈妈，自从有了二宝后情绪一直低落，所有照顾两个孩子的事都是我一个人，很累，感觉没人能够理解我，没人帮我",请问要怎么做才过得轻松点
1.19,"女,老师你好！我现在很担心我儿子		他在读高一他情绪低落		也很内向		也不跟我们父母沟通			性格非常强硬父母问他也不搭理		我该怎么办呢",
1.19,"男,19岁,我儿子这些天情绪波动很大动不动就发脾气打人乱扔东西有点不舒服就把事情无限放大盯着这事不放一天到晚跟我们父母吵干怎么办呢",眼睛不舒服 // 看了 // 因为最近做了近视手术有一个眼睛不是很舒服所以天天就纠结这个问题
1.19,女 孩子刚满16岁女孩，厌学，早恋，现在什么也不管不顾。家长的话一点也听不进去，并且拒绝沟通。家长很担心她的未来，求助专家老师指点,各位专家老师好！ // 我觉得亲子关系不是太紧张 // 谢谢！我在哪里看到留言 // 我怎么能看到留言？ // 好的，谢谢 // 孩子不配合，我在当地找了心里老师，孩子不去
1.19,"男,我的男孩今年20岁了，一直在心理上和父母对抗已经有4年多，也给他吃药，做心理疏导，心理对抗反复，可能是父母沟通不够，希望给于见解。",
1.19,"男,8岁,我家宝贝晚上不管多热都要把被子盖的死死的 一把被子拿开 他是又哭又闹 拳打脚踢的 我都不知道该怎么办才好 我该怎样做才能改善这种情况呢",
